poll_id,pollster,candidate_name,sample_size,pct,start_date,transparency_score,numeric_grade,pollscore,end_date,days_to_election
17176,YouGov,Donald Trump,778,46.7,2023-02-03,4,1.4,-1.4,2023-02-12,632
17871,Ipsos,Nikki Haley,2516,67.3,2023-12-23,2.8,3.5,-0.8,2024-01-01,309
14316,TIPP Insights,Joe Biden,975,67.9,2023-11-15,7.4,3.3,0.3,2023-11-19,352
12448,Redfield & Wilton Strategies,Kamala Harris,852,44.7,2023-07-17,7.9,1.7,-0.5,2023-07-19,475
18574,TIPP Insights,Kamala Harris,1796,65.1,2023-06-28,4.8,1.2,-1,2023-07-04,490
15408,YouGov,Donald Trump,524,43.2,2023-02-25,3.6,3,-0.2,2023-03-02,614
16802,TIPP Insights,Donald Trump,1710,32.6,2023-05-04,8.7,1.2,1.2,2023-05-09,546
13894,YouGov,Nikki Haley,1670,65.8,2023-06-15,8.7,2.7,-1.4,2023-06-24,500
12338,Redfield & Wilton Strategies,Kamala Harris,2899,66,2023-02-04,2.6,1.1,0.3,2023-02-06,638
12518,Gallup,Kamala Harris,1691,35.3,2023-04-16,7.6,2.6,-0.6,2023-04-22,563
19572,YouGov,Nikki Haley,1768,32.7,2023-09-03,4.5,3.9,1.3,2023-09-10,422
13843,Gallup,Kamala Harris,2643,48.8,2023-01-08,8.4,3.5,0.6,2023-01-13,662
15259,Ipsos,Donald Trump,2112,40,2023-11-19,3.2,2.5,-0.5,2023-11-26,345
11703,Ipsos,Kamala Harris,1810,57.9,2023-06-04,5.5,1.4,-0.5,2023-06-06,518
19665,TIPP Insights,Joe Biden,1102,41.2,2023-04-06,4.6,1.5,0.4,2023-04-11,574
10132,TIPP Insights,Kamala Harris,992,61.8,2023-04-23,8.9,2.3,0.1,2023-04-26,559
18449,Gallup,Nikki Haley,530,52.6,2023-04-05,8.6,2.8,1.1,2023-04-15,570
17032,Ipsos,Donald Trump,1643,32.3,2023-05-25,3.1,3.5,0.3,2023-06-04,520
15312,TIPP Insights,Kamala Harris,2933,39.9,2023-08-18,5.9,2,-0.8,2023-08-19,444
18086,Ipsos,Nikki Haley,2706,34.7,2023-11-07,9.3,2.3,0.7,2023-11-09,362
13181,Redfield & Wilton Strategies,Nikki Haley,1775,42.2,2023-12-24,5.5,1.7,0.7,2024-01-02,308
12988,Gallup,Joe Biden,1479,41.9,2023-04-09,2.1,1.9,-0.2,2023-04-14,571
15258,Ipsos,Donald Trump,2072,60.6,2023-05-16,8.2,3.1,0.5,2023-05-17,538
13290,Gallup,Joe Biden,997,31.1,2023-03-14,6,3.5,0.9,2023-03-22,594
12225,TIPP Insights,Donald Trump,2599,67.8,2023-07-24,6.6,2.3,1.4,2023-07-25,469
18782,YouGov,Kamala Harris,2304,37.6,2023-10-17,2.7,2.7,1.4,2023-10-20,382
16360,TIPP Insights,Kamala Harris,2952,41.5,2023-07-27,4.1,3.4,0.9,2023-07-28,466
10298,TIPP Insights,Donald Trump,2900,34,2023-04-17,6.4,3.7,-1.1,2023-04-27,558
15377,Ipsos,Nikki Haley,2308,69.8,2023-12-14,8.9,1.5,-0.2,2023-12-23,318
18448,Redfield & Wilton Strategies,Kamala Harris,2706,52.1,2023-08-10,8.3,3.7,0.3,2023-08-16,447
17151,Redfield & Wilton Strategies,Nikki Haley,2871,33.2,2023-04-22,5,2.3,1.5,2023-04-24,561
11901,Ipsos,Donald Trump,2766,32.2,2023-01-22,9.3,1.3,-1.1,2023-01-30,645
11608,Redfield & Wilton Strategies,Kamala Harris,2579,32,2023-09-24,8.2,1.5,1.4,2023-10-04,398
16447,Gallup,Donald Trump,2076,35.6,2023-10-26,6.3,2.3,1.5,2023-11-04,367
16749,Redfield & Wilton Strategies,Donald Trump,1160,32.9,2023-09-30,9.3,2.2,0.7,2023-10-03,399
15591,Ipsos,Joe Biden,2731,45.2,2023-08-04,8.8,1.1,-0.4,2023-08-12,451
14356,YouGov,Nikki Haley,2694,69.3,2023-11-28,5,2,-1.1,2023-12-05,336
19086,Redfield & Wilton Strategies,Kamala Harris,2881,55.1,2023-07-06,4,1.5,-0.2,2023-07-08,486
19212,TIPP Insights,Joe Biden,1874,65.1,2023-05-13,7.5,1.6,-0.3,2023-05-22,533
19413,Redfield & Wilton Strategies,Joe Biden,943,34.8,2023-11-05,8.7,3.2,-0.4,2023-11-08,363
15760,Ipsos,Nikki Haley,2322,55.9,2023-05-14,2,2.8,1.3,2023-05-19,536
18837,Ipsos,Joe Biden,1562,38.1,2023-12-25,5.8,1.5,-0.9,2024-01-01,309
14443,Ipsos,Donald Trump,1159,43.8,2023-01-18,2.9,2.4,-0.8,2023-01-23,652
13556,TIPP Insights,Joe Biden,931,56.5,2023-06-26,2.3,3.9,1.4,2023-07-05,489
19735,TIPP Insights,Kamala Harris,502,58.3,2023-06-11,4.2,3.7,-0.5,2023-06-12,512
10873,Gallup,Donald Trump,1188,41.5,2023-05-10,9.7,3.6,-0.8,2023-05-19,536
11935,Redfield & Wilton Strategies,Donald Trump,686,59.3,2023-07-09,4.6,2.8,1.3,2023-07-14,480
19557,TIPP Insights,Joe Biden,2201,53,2023-06-10,7.2,3.3,-0.1,2023-06-20,504
19576,Redfield & Wilton Strategies,Donald Trump,1761,70,2023-01-13,6,3.9,0.5,2023-01-19,656
16635,TIPP Insights,Kamala Harris,1586,31.4,2023-03-22,9.2,3,0,2023-04-01,584
10250,Ipsos,Nikki Haley,1795,30.5,2023-11-07,7.3,2.1,-0.6,2023-11-11,360
19022,YouGov,Kamala Harris,890,59.6,2023-08-16,1.7,1.5,-0,2023-08-17,446
11584,TIPP Insights,Kamala Harris,999,46.3,2023-08-26,7.2,1.7,0.2,2023-09-02,430
18674,Redfield & Wilton Strategies,Donald Trump,1561,32.4,2023-01-09,6.4,3.1,-1.4,2023-01-12,663
11003,Redfield & Wilton Strategies,Kamala Harris,1767,51.5,2023-01-08,2.5,2.9,1.5,2023-01-15,660
15649,YouGov,Kamala Harris,731,60.3,2023-08-03,4.9,1.4,-0.8,2023-08-12,451
18674,YouGov,Joe Biden,983,62.1,2023-02-06,4.2,3.1,-0.1,2023-02-15,629
13901,Ipsos,Joe Biden,1366,60.4,2023-03-12,1.7,1.9,-0,2023-03-19,597
18562,Redfield & Wilton Strategies,Kamala Harris,2730,59.6,2023-05-26,8.6,1.7,0.4,2023-05-28,527
18740,YouGov,Kamala Harris,2219,53.2,2023-04-01,4.6,3.8,1.3,2023-04-04,581
12060,YouGov,Kamala Harris,628,58.8,2023-12-04,2,3.8,1,2023-12-06,335
18522,TIPP Insights,Donald Trump,2633,32.3,2023-11-21,6.2,3.9,0.2,2023-11-30,341
14192,YouGov,Nikki Haley,1315,47.5,2023-07-15,6.9,1.9,-0.9,2023-07-19,475
