pollster,numeric_grade,pollscore,state,end_date,sample_size,pct,num_trump
AtlasIntel,2.7,-0.8,Arizona,2024-10-17,1440,49.2,708
AtlasIntel,2.7,-0.8,Arizona,2024-10-17,1440,49.2,708
AtlasIntel,2.7,-0.8,Georgia,2024-10-17,1411,49.5,698
AtlasIntel,2.7,-0.8,Georgia,2024-10-17,1411,50.1,707
AtlasIntel,2.7,-0.8,Michigan,2024-10-17,1529,49.6,758
AtlasIntel,2.7,-0.8,Michigan,2024-10-17,1529,50.2,768
AtlasIntel,2.7,-0.8,Other,2024-10-17,1171,48.4,567
AtlasIntel,2.7,-0.8,Other,2024-10-17,1171,48.3,566
AtlasIntel,2.7,-0.8,North Carolina,2024-10-17,1674,48.8,817
AtlasIntel,2.7,-0.8,North Carolina,2024-10-17,1674,48.8,817
AtlasIntel,2.7,-0.8,Pennsylvania,2024-10-17,2048,49.8,1020
AtlasIntel,2.7,-0.8,Pennsylvania,2024-10-17,2048,49.9,1022
AtlasIntel,2.7,-0.8,Wisconsin,2024-10-17,932,48.2,449
AtlasIntel,2.7,-0.8,Wisconsin,2024-10-17,932,48.4,451
Emerson,2.9,-1.1,Other,2024-10-14,1000,36.6,366
Quinnipiac,2.8,-0.5,Georgia,2024-10-14,1328,52,691
Quinnipiac,2.8,-0.5,Georgia,2024-10-14,1328,52,691
Quinnipiac,2.8,-0.5,North Carolina,2024-10-14,1031,47,485
Quinnipiac,2.8,-0.5,North Carolina,2024-10-14,1031,47,485
Siena/NYT,3,-1.5,Pennsylvania,2024-10-10,857,47,403
Siena/NYT,3,-1.5,Pennsylvania,2024-10-10,857,45,386
Siena/NYT,3,-1.5,Pennsylvania,2024-10-10,857,47,403
Siena/NYT,3,-1.5,Pennsylvania,2024-10-10,857,45,386
Siena/NYT,3,-1.5,Arizona,2024-10-10,808,51,412
Siena/NYT,3,-1.5,Arizona,2024-10-10,808,50,404
Siena/NYT,3,-1.5,Arizona,2024-10-10,808,51,412
Siena/NYT,3,-1.5,Arizona,2024-10-10,808,49,396
Emerson,2.9,-1.1,Arizona,2024-10-08,1000,50.5,505
Emerson,2.9,-1.1,Georgia,2024-10-08,1000,49.7,497
Emerson,2.9,-1.1,Michigan,2024-10-08,950,49.6,471
Emerson,2.9,-1.1,Other,2024-10-08,900,48.1,433
Emerson,2.9,-1.1,North Carolina,2024-10-08,1000,49.9,499
Emerson,2.9,-1.1,Pennsylvania,2024-10-08,1000,49.7,497
Emerson,2.9,-1.1,Wisconsin,2024-10-08,1000,49.9,499
Siena/NYT,3,-1.5,Other,2024-10-08,656,57,374
Siena/NYT,3,-1.5,Other,2024-10-08,656,56,367
Siena/NYT,3,-1.5,Other,2024-10-08,656,57,374
Siena/NYT,3,-1.5,Other,2024-10-08,656,56,367
Quinnipiac,2.8,-0.5,Michigan,2024-10-07,1007,50,504
Quinnipiac,2.8,-0.5,Michigan,2024-10-07,1007,51,514
Quinnipiac,2.8,-0.5,Pennsylvania,2024-10-07,1412,46,650
Quinnipiac,2.8,-0.5,Pennsylvania,2024-10-07,1412,47,664
Quinnipiac,2.8,-0.5,Wisconsin,2024-10-07,1073,48,515
Quinnipiac,2.8,-0.5,Wisconsin,2024-10-07,1073,49,526
